,src,dst,tx_x,tx_y,rx_x,rx_y,distance,power,mtoa,pl,txloss
89,0,89,3.9284,45.1139,39.993,4.67141,54.1872,-42.3358,1.86353e-07,66.6376,66.6376
90,0,90,3.9284,45.1139,44.4283,45.1785,40.5,-37.7509,1.4975e-07,62.0527,62.0527
91,0,91,3.9284,45.1139,44.4355,40.6786,40.7492,-33.8395,1.51215e-07,58.1413,58.1413
92,0,92,3.9284,45.1139,44.4427,36.1786,41.488,-36.3579,1.53359e-07,60.6597,60.6597
93,0,93,3.9284,45.1139,44.4499,31.6786,42.6907,-38.9274,1.57953e-07,63.2292,63.2292
94,0,94,3.9284,45.1139,44.4571,27.1786,44.3199,-37.0643,1.62541e-07,61.366,61.366
95,0,95,3.9284,45.1139,44.4643,22.6786,46.3303,-39.1456,1.68918e-07,63.4474,63.4474
96,0,96,3.9284,45.1139,44.4715,18.1786,48.6749,-43.7735,1.75847e-07,68.0752,68.0752
97,0,97,3.9284,45.1139,44.4787,13.6786,51.3079,-41.9435,1.85319e-07,66.2453,66.2453
98,0,98,3.9284,45.1139,44.4858,9.17859,54.1872,-44.8875,1.88352e-07,69.1892,69.1892
99,0,99,3.9284,45.1139,44.493,4.6786,57.2757,-46.6997,1.96396e-07,71.0015,71.0015
100,0,100,3.9284,45.1139,48.9283,45.1857,45,-34.7245,1.6384e-07,59.0263,59.0263
101,0,101,3.9284,45.1139,48.9355,40.6857,45.2244,-36.3746,1.65609e-07,60.6764,60.6764
102,0,102,3.9284,45.1139,48.9427,36.1857,45.8912,-35.6338,1.67731e-07,59.9356,59.9356
103,0,103,3.9284,45.1139,48.9499,31.6858,46.9814,-56.785,1.7001e-07,81.0868,81.0868
104,0,104,3.9284,45.1139,48.9571,27.1858,48.4665,-40.2015,1.74698e-07,64.5033,64.5033
105,0,105,3.9284,45.1139,48.9643,22.6858,50.3115,-36.6737,1.81111e-07,60.9754,60.9754
106,0,106,3.9284,45.1139,48.9715,18.1858,52.4786,-44.9369,1.9238e-07,69.2386,69.2386
107,0,107,3.9284,45.1139,48.9787,13.6858,54.9295,-39.9171,1.97496e-07,64.2188,64.2188
108,0,108,3.9284,45.1139,48.9858,9.18578,57.6281,-40.4818,1.99402e-07,64.7836,64.7836
109,0,109,3.9284,45.1139,48.993,4.68578,60.5413,-46.8488,2.07428e-07,71.1506,71.1506
110,0,110,3.9284,45.1139,53.4283,45.1929,49.5,-38.7441,1.77608e-07,63.0458,63.0458
111,0,111,3.9284,45.1139,53.4355,40.6929,49.7041,-42.6097,1.79411e-07,66.9114,66.9114
112,0,112,3.9284,45.1139,53.4427,36.1929,50.3115,-36.7119,1.79831e-07,61.0136,61.0136
113,0,113,3.9284,45.1139,53.4499,31.6929,51.3079,-36.6137,1.84753e-07,60.9154,60.9154
114,0,114,3.9284,45.1139,53.4571,27.1929,52.6712,-37.8967,1.8939e-07,62.1985,62.1985
115,0,115,3.9284,45.1139,53.4643,22.693,54.3737,-38.4168,1.93015e-07,62.7186,62.7186
116,0,116,3.9284,45.1139,53.4715,18.193,56.3848,-41.6059,2.02874e-07,65.9076,65.9076
117,0,117,3.9284,45.1139,53.4786,13.693,58.6728,-41.858,2.09496e-07,66.1598,66.1598
118,0,118,3.9284,45.1139,53.4858,9.19297,61.2066,-40.2731,2.11821e-07,64.5748,64.5748
119,0,119,3.9284,45.1139,53.493,4.69297,63.957,-44.3886,2.19544e-07,68.6904,68.6904
120,0,120,3.9284,45.1139,57.9283,45.2001,54,-47.6557,1.90596e-07,71.9574,71.9574
121,0,121,3.9284,45.1139,57.9355,40.7001,54.1872,-37.3228,1.92442e-07,61.6246,61.6246
122,0,122,3.9284,45.1139,57.9427,36.2001,54.7449,-45.9776,1.94528e-07,70.2794,70.2794
123,0,123,3.9284,45.1139,57.9499,31.7001,55.6619,-35.589,1.96606e-07,59.8907,59.8907
124,0,124,3.9284,45.1139,57.9571,27.2001,56.921,-41.9869,2.01005e-07,66.2887,66.2887
125,0,125,3.9284,45.1139,57.9643,22.7001,58.5,-43.4629,2.04837e-07,67.7647,67.7647
126,0,126,3.9284,45.1139,57.9715,18.2001,60.3738,-41.1531,2.15259e-07,65.4549,65.4549
127,0,127,3.9284,45.1139,57.9786,13.7001,62.516,-41.557,2.16908e-07,65.8587,65.8587
128,0,128,3.9284,45.1139,57.9858,9.20015,64.8999,-48.2491,2.23958e-07,72.5509,72.5509
129,0,129,3.9284,45.1139,57.993,4.70016,67.5,-43.3726,2.36349e-07,67.6744,67.6744
130,0,130,3.9284,45.1139,62.4283,45.2073,58.5,-40.1621,2.11551e-07,64.4639,64.4639
131,0,131,3.9284,45.1139,62.4355,40.7073,58.6728,-44.9851,2.10311e-07,69.2869,69.2869
132,0,132,3.9284,45.1139,62.4427,36.2073,59.1883,-42.245,2.12079e-07,66.5467,66.5467
133,0,133,3.9284,45.1139,62.4499,31.7073,60.0375,-45.255,2.13763e-07,69.5567,69.5567
134,0,134,3.9284,45.1139,62.4571,27.2073,61.2066,-45.6275,2.14303e-07,69.9293,69.9293
135,0,135,3.9284,45.1139,62.4643,22.7073,62.6777,-45.7877,3.02805e-07,70.0894,70.0894
136,0,136,3.9284,45.1139,62.4714,18.2073,64.4302,-41.723,2.27967e-07,66.0247,66.0247
137,0,137,3.9284,45.1139,62.4786,13.7073,66.4417,-49.8114,2.29558e-07,74.1132,74.1132
138,0,138,3.9284,45.1139,62.4858,9.20734,68.6895,-44.5997,2.36556e-07,68.9014,68.9014
139,0,139,3.9284,45.1139,62.493,4.70735,71.1512,-45.2565,2.47802e-07,69.5583,69.5583
140,0,140,3.9284,45.1139,66.9283,45.2145,63,-42.237,2.22712e-07,66.5388,66.5388
141,0,141,3.9284,45.1139,66.9355,40.7145,63.1605,-39.1168,2.23941e-07,63.4186,63.4186
142,0,142,3.9284,45.1139,66.9427,36.2145,63.6396,-50.2572,2.25679e-07,74.5589,74.5589
143,0,143,3.9284,45.1139,66.9499,31.7145,64.4302,-41.5464,2.28112e-07,65.8481,65.8481
144,0,144,3.9284,45.1139,66.9571,27.2145,65.521,-42.3751,2.32266e-07,66.6768,66.6768
145,0,145,3.9284,45.1139,66.9643,22.7145,66.8973,-45.5409,2.93941e-07,69.8426,69.8426
146,0,146,3.9284,45.1139,66.9714,18.2145,68.542,-47.1534,2.40468e-07,71.4552,71.4552
147,0,147,3.9284,45.1139,66.9786,13.7145,70.4361,-43.3304,2.41447e-07,67.6321,67.6321
148,0,148,3.9284,45.1139,66.9858,9.21453,72.5603,-48.3031,2.49392e-07,72.6049,72.6049
149,0,149,3.9284,45.1139,66.993,4.71454,74.8949,-48.5841,2.60096e-07,72.8858,72.8858
150,0,150,3.9284,45.1139,71.4283,45.2217,67.5,-43.4554,2.35773e-07,67.7572,67.7572
151,0,151,3.9284,45.1139,71.4355,40.7217,67.6498,-44.0538,2.37246e-07,68.3555,68.3555
152,0,152,3.9284,45.1139,71.4427,36.2217,68.0974,-41.9491,2.38787e-07,66.2509,66.2509
153,0,153,3.9284,45.1139,71.4499,31.7217,68.8368,-44.0846,2.4385e-07,68.3863,68.3863
154,0,154,3.9284,45.1139,71.4571,27.2217,69.8588,-44.5383,2.45244e-07,68.84,68.84
155,0,155,3.9284,45.1139,71.4642,22.7217,71.1512,-50.1021,2.85026e-07,74.4038,74.4038
156,0,156,3.9284,45.1139,71.4714,18.2217,72.6997,-46.9558,2.72249e-07,71.2576,71.2576
157,0,157,3.9284,45.1139,71.4786,13.7217,74.4883,-42.1961,2.5488e-07,66.4979,66.4979
158,0,158,3.9284,45.1139,71.4858,9.22172,76.5,-46.7858,2.64755e-07,71.0876,71.0876
159,0,159,3.9284,45.1139,71.493,4.72172,78.7179,-40.9727,2.71352e-07,65.2744,65.2744
160,0,160,3.9284,45.1139,75.9283,45.2289,72,-47.3999,2.4865e-07,71.7017,71.7017
161,0,161,3.9284,45.1139,75.9355,40.7289,72.1405,-50.7615,2.49841e-07,75.0632,75.0632
162,0,162,3.9284,45.1139,75.9427,36.2289,72.5603,-45.5665,2.54035e-07,69.8683,69.8683
163,0,163,3.9284,45.1139,75.9499,31.7289,73.2547,-44.1265,2.55816e-07,68.4283,68.4283
164,0,164,3.9284,45.1139,75.9571,27.2289,74.2159,-48.176,2.57402e-07,72.4778,72.4778
165,0,165,3.9284,45.1139,75.9642,22.7289,75.4337,-47.0509,2.77357e-07,71.3527,71.3527
166,0,166,3.9284,45.1139,75.9714,18.2289,76.896,-53.6728,3.02684e-07,77.9745,77.9745
167,0,167,3.9284,45.1139,75.9786,13.7289,78.5891,-45.0169,2.68445e-07,69.3186,69.3186
168,0,168,3.9284,45.1139,75.9858,9.22891,80.4984,-43.5274,2.75531e-07,67.8292,67.8292
169,0,169,3.9284,45.1139,75.993,4.72891,82.609,-46.4157,2.81956e-07,70.7175,70.7175
170,1,0,3.93558,40.6139,3.9284,45.1139,4.5,-20.6228,1.64949e-08,44.9245,44.9245
171,1,1,3.93558,40.6139,3.93558,40.6139,0,-37.6718,4.34067e-08,61.9736,61.9736
172,1,2,3.93558,40.6139,3.94277,36.1139,4.5,-21.2311,1.64251e-08,45.5329,45.5329
173,1,3,3.93558,40.6139,3.94996,31.6139,9,-24.8706,3.37626e-08,49.1724,49.1724
174,1,4,3.93558,40.6139,3.95715,27.1139,13.5,-29.3807,5.18189e-08,53.6825,53.6825
175,1,5,3.93558,40.6139,3.96433,22.6139,18,-28.4567,6.98434e-08,52.7584,52.7584
176,1,6,3.93558,40.6139,3.97152,18.1139,22.5,-31.5604,8.65042e-08,55.8621,55.8621
177,1,7,3.93558,40.6139,3.97871,13.6139,27,-36.09,1.02561e-07,60.3918,60.3918
178,1,8,3.93558,40.6139,3.9859,9.1139,31.5,-39.924,1.17234e-07,64.2258,64.2258
179,1,9,3.93558,40.6139,3.99309,4.61391,36,-38.1354,1.31037e-07,62.4372,62.4372
180,1,10,3.93558,40.6139,8.42839,45.121,6.36396,-21.9392,2.37269e-08,46.241,46.241
181,1,11,3.93558,40.6139,8.43558,40.621,4.5,-21.8776,1.63685e-08,46.1794,46.1794
182,1,12,3.93558,40.6139,8.44277,36.1211,6.36396,-21.7549,2.36013e-08,46.0567,46.0567
183,1,13,3.93558,40.6139,8.44995,31.6211,10.0623,-29.9199,3.79647e-08,54.2216,54.2216
184,1,14,3.93558,40.6139,8.45714,27.1211,14.2302,-31.1996,5.41932e-08,55.5014,55.5014
185,1,15,3.93558,40.6139,8.46433,22.6211,18.554,-30.9907,7.07664e-08,55.2925,55.2925
186,1,16,3.93558,40.6139,8.47152,18.1211,22.9456,-35.4311,8.75947e-08,59.7329,59.7329
187,1,17,3.93558,40.6139,8.4787,13.6211,27.3724,-40.2617,1.03561e-07,64.5634,64.5634
188,1,18,3.93558,40.6139,8.48589,9.12109,31.8198,-46.4831,1.1879e-07,70.7848,70.7848
189,1,19,3.93558,40.6139,8.49308,4.62109,36.2802,-42.8142,1.32673e-07,67.116,67.116
190,1,20,3.93558,40.6139,12.9284,45.1282,10.0623,-26.3125,3.80639e-08,50.6143,50.6143
191,1,21,3.93558,40.6139,12.9356,40.6282,9,-29.5868,3.37597e-08,53.8885,53.8885
